p5,1377643361740,clear,undefined,undefined
p5,1377643557015,range select,bar-5,5-5-5-1_
p5,1377643558603,range select,bar-5,5-6-6-1_
p5,1377643562679,range select,bar-5,5-7-7-1_
p5,1377643563533,range select,bar-5,5-0-0-1_
p5,1377643564641,range select,bar-5,5-2-2-1_
p5,1377643566912,range select,bar-5,5-8-8-1_
p5,1377643567575,range select,bar-5,5-10-10-1_
p5,1377643568938,range select,bar-5,5-12-12-1_
p5,1377643569579,clear,undefined,undefined
p5,1377643571387,brush,bar-5,5-14-14-1_
p5,1377643571420,brush,bar-5,5-13-13-1_
p5,1377643571720,brush,bar-5,5-12-12-1_
p5,1377643572781,range select,bar-5,5-12-12-1_
p5,1377643573875,clear,undefined,undefined
p5,1377643581278,repaintBg,log scale,false
p5,1377643581278,repaintFg,log scale,false
p5,1377643584538,clear,undefined,undefined
p5,1377643584610,brush,bar-5,5-1-1-1_
p5,1377643584622,brush,bar-5,5-2-2-1_
p5,1377643584824,brush,bar-5,5-3-3-1_
p5,1377643584840,brush,bar-5,5-4-4-1_
p5,1377643584856,brush,bar-5,5-6-6-1_
p5,1377643584872,brush,bar-5,5-7-7-1_
p5,1377643584888,brush,bar-5,5-9-9-1_
p5,1377643585072,brush,bar-5,5-10-10-1_
p5,1377643585090,brush,bar-5,5-11-11-1_
p5,1377643585105,brush,bar-5,5-12-12-1_
p5,1377643585138,brush,bar-5,5-13-13-1_
p5,1377643585155,brush,bar-5,5-14-14-1_
p5,1377643585357,brush,bar-5,5-15-15-1_
p5,1377643585556,brush,bar-5,5-16-16-1_
p5,1377643585605,brush,bar-5,5-17-17-1_
p5,1377643586056,brush,bar-5,5-16-16-1_
p5,1377643586123,brush,bar-5,5-15-15-1_
p5,1377643586250,brush,bar-5,5-14-14-1_
p5,1377643586256,brush,bar-5,5-13-13-1_
p5,1377643586306,brush,bar-5,5-12-12-1_
p5,1377643587007,brush,bar-5,5-11-11-1_
p5,1377643587056,brush,bar-5,5-10-10-1_
p5,1377643587073,brush,bar-5,5-9-9-1_
p5,1377643587139,brush,bar-5,5-8-8-1_
p5,1377643597977,range select,bar-5,5-8-8-1_
p5,1377643601939,repaintBg,log scale,true
p5,1377643601940,repaintFg,log scale,true
p5,1377643610321,range select,bar-5,5-9-9-1_
p5,1377643613462,range select,bar-5,5-10-10-1_
p5,1377643619108,range select,bar-5,5-19-19-1_
p5,1377643627474,range select,bar-5,5-9-9-1_
p5,1377643628969,range select,bar-5,5-8-8-1_
p5,1377643629502,range select,bar-5,5-3-3-1_
p5,1377643632626,repaintBg,log scale,false
p5,1377643632627,repaintFg,log scale,false
p5,1377643634513,clear,undefined,undefined
p5,1377643645146,pan,geo-0-1,0,0
p5,1377643645174,pan,geo-0-1,3,2
p5,1377643645207,pan,geo-0-1,1,0
p5,1377643645244,pan,geo-0-1,4,0
p5,1377643645289,pan,geo-0-1,7,0
p5,1377643645307,pan,geo-0-1,2,0
p5,1377643645348,pan,geo-0-1,10,0
p5,1377643645376,pan,geo-0-1,2,2
p5,1377643646110,pan,geo-0-1,1,1
p5,1377643646145,pan,geo-0-1,2,0
p5,1377643646176,pan,geo-0-1,1,0
p5,1377643646213,pan,geo-0-1,2,0
p5,1377643646250,pan,geo-0-1,2,-2
p5,1377643646274,pan,geo-0-1,1,-2
p5,1377643646290,pan,geo-0-1,1,-1
p5,1377643646308,pan,geo-0-1,0,-1
p5,1377643647428,pan,geo-0-1,1,-2
p5,1377643647460,pan,geo-0-1,1,-3
p5,1377643647491,pan,geo-0-1,2,-8
p5,1377643647507,pan,geo-0-1,1,-3
p5,1377643647565,pan,geo-0-1,0,-3
p5,1377643647724,pan,geo-0-1,2,-1
p5,1377643647752,pan,geo-0-1,0,0
p5,1377643647769,pan,geo-0-1,0,-1
p5,1377643647786,pan,geo-0-1,1,-2
p5,1377643647803,pan,geo-0-1,2,-3
p5,1377643647818,pan,geo-0-1,1,-3
